id,text,Anger,Fear,Joy,Sadness,Surprise
eng_train_track_b_00001,"Colorado, middle of nowhere.",0,1,0,0,1
eng_train_track_b_00002,This involved swimming a pretty large lake that was over my head.,0,2,0,0,0
eng_train_track_b_00003,It was one of my most shameful experiences.,0,1,0,3,0
eng_train_track_b_00004,"After all, I had vegetables coming out my ears all for the benefit of the young prince.",0,0,0,0,0
eng_train_track_b_00005,Then the screaming started.,0,3,0,1,2
eng_train_track_b_00006,"They don't fear death, and it seems they believe in reincarnation.",0,1,0,0,1
eng_train_track_b_00007,You know what happens when I get one of these stupid ideas in my head.,1,1,0,0,0
eng_train_track_b_00008,My stomach even started giving me fits.,0,2,0,1,0
eng_train_track_b_00009,"Well, as we're bowling, my dinner began to not sit well with me, and I had to run to the bathroom.",0,2,0,0,0
eng_train_track_b_00010,Hondas are notoriously great cars for long trips for their dependability and great gas mileage.,0,0,2,0,0
eng_train_track_b_00011,It's his reflection.,0,0,0,0,1
eng_train_track_b_00012,"not mine, and not that horrible, but i was browsing the personnel files last week and noticed that my boss' birthday had occurred 3 days prior.",0,0,0,0,1
eng_train_track_b_00013,"i pushed standing up for a while and emerald crowned, but got pretty tired and laid on the bed on my side while matthias held my leg up and that's how emerald came out!",0,0,1,0,0
eng_train_track_b_00014,"Now my parents live in the foothills, and the college is in a large valley.",0,0,0,0,0
eng_train_track_b_00015,"Fortunately the kindly ajeoshis and ajummas that I rented the scooter from helped me get on a bus to the other ferry, but not before pulling me up a seat to thier table and shoving succulant watermelon in my face.",0,0,1,0,1
eng_train_track_b_00016,I remember being scared shitless.,0,3,0,0,0
eng_train_track_b_00017,That was the last time anyone saw her.,0,2,0,3,0
eng_train_track_b_00018,The stone inside my heart was removed; ).,0,0,2,0,0
eng_train_track_b_00019,"Not only was I not able to move, I smacked my head against the guy sitting in front me and things just got awkward.",1,1,0,0,0
eng_train_track_b_00020,I didn't see any light yet it still seemed to glow.,0,2,0,0,2
eng_train_track_b_00021,I unwrapped the candy and popped it into my mouth.,0,0,1,0,0
eng_train_track_b_00022,Remember the farm-ette?,0,0,1,0,1
eng_train_track_b_00023,I took offense to this because as a supervisor I wanted my team to be in good spirits and wanted them to love coming in to work and doing good things for the mission.,1,0,0,0,0
eng_train_track_b_00024,""" She awoke from this odd dream and told her mum to wake up her sister.",0,1,0,0,1
eng_train_track_b_00025,It broke my heart and nearly ruined me.,0,1,0,3,0
eng_train_track_b_00026,"R-I get home and park, just when I think everything is about to turn around, I slip on the ice, and fall flat on my back.",0,2,0,0,2
eng_train_track_b_00027,"She said that I shouldn't do ANYTHING with my finger, not even type.",0,1,0,0,0
eng_train_track_b_00028,"It definitely makes my hand feel weird, and I haven't thrown up yet.",0,2,0,0,0
eng_train_track_b_00029,Now when I have too much to do my brain just gets distracted by all the other jobs jostling for attention.,0,1,0,0,0
eng_train_track_b_00030,I expect them to come in the backdoor any second but I hear nothing.,0,2,0,0,1
eng_train_track_b_00031,The rattling in my brain clogs my nose.,0,1,0,1,0
eng_train_track_b_00032,I had to turn my head back into the stream of water just so I didn't burst out laughing and lose it right there.,0,0,2,0,0
eng_train_track_b_00033,"So when the laughing fit stopped, back to my seat I went with a big ole smile across my face.",0,0,2,0,0
eng_train_track_b_00034,"""I lost the towel.",0,1,0,0,0
eng_train_track_b_00035,Sets the power/entity free.,0,1,1,0,1
eng_train_track_b_00036,This is causing some of the puffiness in his face and sometimes causes a severe headache.,0,2,0,1,0
eng_train_track_b_00037,There was apparently then some awkward laughter and apologies and my grandpa and his friends were dismissed.,1,1,0,1,1
eng_train_track_b_00038,I don't stop.,0,1,0,0,0
eng_train_track_b_00039,I got lie after lie.,3,2,0,2,0
eng_train_track_b_00040,"After scratching my head, I headed to the front yard, where there are no trees, on the off chance that something truly weird had caused a limb to plop down on my house.",0,1,0,0,1
eng_train_track_b_00041,"And I got ta tell you right here folks, that brings a tear to my eye.",0,0,1,1,0
eng_train_track_b_00042,I'm feeling my eyes drift a bit so I guess I better attempt to try to go to sleep... I have to go to my mom's work at 7 to help her out.,0,1,0,1,0
eng_train_track_b_00043,I've never met any of the other members but we all send each other x-mas cards &amp; random stuff.,0,0,1,0,1
eng_train_track_b_00044,The last week I've gone to bed at 7 every morning with house music blasting in my ear and have woken up with only an appetite for more.,0,0,2,0,0
eng_train_track_b_00045,It was one of the most spiritual moments of my life.,0,0,3,0,1
eng_train_track_b_00046,I definitely ended up with a plastic burn on my elbow.,0,1,0,0,0
eng_train_track_b_00047,"As I started to jog easily to the starting line, my leg felt a little stiff and my shin was hurting a bit.",0,1,0,1,0
eng_train_track_b_00048,"i asked if anyone else just saw that and right on queue my best friend says ""that hand just reach out of the entertainment center?",0,2,0,0,3
eng_train_track_b_00049,"I started to grip my sheets, barely breathing as my mind raced and my eyes focused, not physically seeing anything out of the ordinary as the sirens wailed outside my apartment, the 35th floor should have been enough distance to drown out the sound, but it wasn't, and I shut my eyes, leaping to the lightswitch.",0,3,0,0,0
eng_train_track_b_00050,I had a chocolate and got up my nerve to ask about the games.,0,1,1,0,0
eng_train_track_b_00051,painted on my face.,0,0,0,0,0
eng_train_track_b_00052,Nothing behind me either.,0,2,0,0,1
eng_train_track_b_00053,It felt so unreal...,0,2,0,0,2
eng_train_track_b_00054,She left the room and went downstairs.,0,0,0,0,0
eng_train_track_b_00055,All of it on top of my head.,0,1,0,0,0
eng_train_track_b_00056,I went into the closet to investigate and found nothing... /chills,0,3,0,0,1
eng_train_track_b_00057,I'm trying to work and accomplish things and train this other guy on how to help me with my job and I can't even move my head for fear of puking on my desk.,0,3,0,0,0
eng_train_track_b_00058,Break my heart a thousand times and I realized that sometimes it really still hurts...,0,0,0,3,0
eng_train_track_b_00059,"Ah, to close my eyes and let time fly by, Because there's so much to gain By forgetting these dreams driving me insane.",0,2,0,1,0
eng_train_track_b_00060,"And then we have the ultimately retarded `` Spanish Lesson '' ( which I kind of like because it's so entertainingly bad ) and `` Incredible, '' which just flat-out gets on my nerves.",2,0,0,0,0
eng_train_track_b_00061,' I chanted in my head.,0,0,0,0,0
eng_train_track_b_00062,"Back to earth As I opened my eye, I was lying back on a hospital bed with my right leg elevated, cupped in the hands of the young Indian doctor who had been trying to save my life.",0,2,0,2,0
eng_train_track_b_00063,This expert also was the ex-husband of the murdered woman.,0,2,0,1,2
eng_train_track_b_00064,"I did manage to remember to hang out the washing, but only because the annoying beeping sound the washer makes when its finished a cycle finally filtered into my brain and started to irritate me enough that I couldn't ignore it any longer.",1,1,0,0,0
eng_train_track_b_00065,It cut through all the fear and anger in my brain.,2,2,0,0,0
eng_train_track_b_00066,"Back in 2006 when I was in high school I took Earth Sciences, and in the spring I was on my teacher's computer when I came across a photo of me giving the thumbs up.",0,0,1,0,1
eng_train_track_b_00067,"But occasionally, my nerves still do get the best of me, and I start to flop around in the breathless panic of a fish pulled out of water and tossed onto the floor to die helplessly.",0,3,0,0,0
eng_train_track_b_00068,The effect was a feeling I've described as running my hand along a cheese grater.,0,2,0,3,0
eng_train_track_b_00069,asked a flustered girl that bumped into my arm.,0,1,0,0,0
eng_train_track_b_00070,A sharp stinging stripe across the backs of my legs.,0,2,0,1,0
eng_train_track_b_00071,I really have to watch my mouth.,0,0,0,0,0
eng_train_track_b_00072,"The Redmond Cycling Club that organizes this event, had made-to-order coldcut sandwiches and -- be still my heart -- ice-cold cans of Coca-Cola at the final aid station.",0,0,2,0,0
eng_train_track_b_00073,i was walking around cursing the day in my head.,2,1,0,1,0
eng_train_track_b_00074,I shook my head and willed every broken hearted thought to go away.,0,0,0,3,0
eng_train_track_b_00075,"i hope whatever i did do today, the two paper 2s adn the reading of the ntoes adn the definitaions i recited, stick in my head and i do nt forget anything: ( sigh.",0,2,0,1,0
eng_train_track_b_00076,"About 3 years ago I had a very vivid dream about my deceased aunt and uncle, Sylvia &amp; John.",0,0,0,2,1
eng_train_track_b_00077,"It could have been my eye -- but my glasses probably blocked that from happening, and diverted the injury higher up on my head.",0,2,0,0,1
eng_train_track_b_00078,`` I went to put my hand in my pockets and realised what they'd done.,0,1,0,0,0
eng_train_track_b_00079,"but my heart pounded in my chest and i couldnt breath, couldnt even look at him.",0,2,0,0,0
eng_train_track_b_00080,I was never so happy to have my feet on solid ground though.,0,0,2,0,0
eng_train_track_b_00081,They don't seem to be evil or dangerous.,0,1,0,0,0
eng_train_track_b_00082,I always like to head out into the boonies after I have been away for a long time... to get my head straight.,0,0,1,0,0
eng_train_track_b_00083,Sage grabbed my toothbrush this morning and showed me how to brush my teeth.,0,0,0,0,0
eng_train_track_b_00084,"I trust this man even less than the woman, but I can't put my finger on it.",0,1,0,0,0
eng_train_track_b_00085,I guess i pointed to Jenny without hesitation.,0,0,0,0,0
eng_train_track_b_00086,We locked our door and kept our lights on the whole night and just watched movies until dawn.,0,2,0,0,0
eng_train_track_b_00087,Just doing something this stupid as a kid.,0,0,0,1,0
eng_train_track_b_00088,FISHIN '' I woke up in the morning my head was throbing black and blue eyed thought I'd died smashed up my TV set.,0,2,0,2,1
